firm,leverage,challenge_pass_rate,challenge_avg_pass_days,challenge_avg_fail_days,challenge_e_first_pass_days,challenge_e_cost,annual_net_ev,annual_net_med,annual_net_p10,annual_net_p90,annual_profit_prob,avg_account_purchases,avg_challenge_retries,avg_funded_episodes_per_year,avg_busts_per_year,avg_payouts_per_year,avg_gross_payout_per_year,avg_fee_refund_per_year,avg_challenge_days_per_year,avg_funded_days_per_year,funded_avg_life_days,funded_bust_rate,funded_survive_to_year_end_rate,funded_got_payout_rate,funded_avg_payout_per_episode,funded_avg_payout_count_per_episode
FundedNext Stellar,3.0,0.847,61.06717827626918,49.481045751633985,70.00531286894923,639.4037780401417,27768.64753863898,26540.53905774992,7958.566570875357,49147.563394310164,0.974,1.6821666666666666,0.2265,1.4343333333333332,0.4588333333333333,7.7645,28062.149626972307,619.2152566666666,100.23783333333333,158.86333333333334,110.75761096909133,0.31989309783871717,0.6801069021612829,0.7954915175458982,19564.594208904702,5.413316290959796
FundedNext Stellar,4.0,0.8087,44.85062445900829,39.8337689492943,54.273401755904544,667.0811178434525,39395.06100132754,37966.71308236679,12789.92128166475,67737.92512186713,0.9866666666666667,2.126333333333333,0.3655,1.7233333333333334,0.7643333333333333,8.1245,39835.56618466088,708.8543866666665,94.3165,164.53933333333333,95.47736943907157,0.4435203094777563,0.5564796905222438,0.7609284332688588,23115.41558104113,4.714410058027079
The5ers High Stakes,1.0,0.982,219.20030549898166,87.0,220.79501018329938,554.989816700611,2943.1389171620785,1714.8982599134906,-545.0,8738.780174414587,0.6198333333333333,1.0001666666666666,0.00016666666666666666,0.9856666666666667,0.0,2.532,3159.958083828745,328.27166666666665,223.806,54.62166666666667,55.415962123774094,0.0,1.0,0.6110923233006426,3205.9094526500635,2.5688197497463645
The5ers High Stakes,1.5,0.9933,151.94120608074095,131.69230769230768,152.82949608531004,548.676130071479,8936.764036700648,8283.421945906972,-545.0,18965.90145689133,0.8593333333333333,1.0051666666666668,0.0021666666666666666,1.0015,0.003,5.127,9020.96653670065,463.61333333333334,151.80183333333332,107.683,107.5217174238642,0.0029955067398901645,0.9970044932601099,0.8493925777999667,9007.455353670144,5.1193210184722915
The5ers High Stakes,2.0,0.918,111.15588235294118,102.89369592088998,120.34682251145205,593.6819172113289,14952.801086348409,14171.82775980829,545.7703291862574,28946.47398662721,0.9081666666666667,1.1155,0.08333333333333333,1.026,0.0325,6.490166666666667,15064.980253015076,495.7683333333333,124.32666666666667,133.538,130.15399610136453,0.03167641325536062,0.9683235867446394,0.8866146848602989,14683.216620872394,6.325698505523067
The5ers High Stakes,2.5,0.8233,81.93611077371554,59.233295583238956,94.64900197930078,661.9701202477833,19873.80773049734,18847.40624349447,3023.015453521152,37659.28292080116,0.9421666666666667,1.5883333333333334,0.25833333333333336,1.3075,0.33266666666666667,6.928,20166.745230497345,572.7041666666667,124.01216666666667,138.272,105.7529636711281,0.2544295729764181,0.7455704270235819,0.8036966220522626,15423.896925810588,5.298661567877629
The5ers High Stakes,3.0,0.8343,68.56418554476807,52.457453228726614,78.98274002157497,653.2422390027567,25962.27877507159,24758.765291270443,5425.641120810627,47590.5443752787,0.9616666666666667,1.6896666666666667,0.264,1.4,0.42866666666666664,7.5441666666666665,26271.202941738255,611.9441666666667,112.8585,148.5455,106.10392857142857,0.3061904761904762,0.6938095238095239,0.8020238095238095,18765.14495838447,5.388690476190476
The5ers High Stakes,4.0,0.7926,49.56384052485491,41.95998071359691,60.54352763058289,687.6103961645218,37676.50709094771,36023.24873764232,11057.827892350757,65691.95414516868,0.9805,2.1293333333333333,0.4018333333333333,1.6851666666666667,0.731,8.174833333333334,38115.59542428104,721.3983333333333,102.83783333333334,156.982,93.1551775294234,0.4337849866482049,0.5662150133517951,0.7854811591336168,22618.294189069944,4.851053308278113
Blueberry Prime,1.0,0.9863,206.4196491939572,87.0,207.62810503903478,460.4172158572443,3132.3684855714223,2053.253001344408,-455.0,8850.382055878074,0.6481666666666667,1.0001666666666666,0.00016666666666666666,0.9871666666666666,0.0,3.1016666666666666,3587.433485571422,0.0,210.49516666666668,63.63166666666667,64.45888907648151,0.0,1.0,0.6670606111767685,3634.0707265623046,3.1419888569981427
Blueberry Prime,1.5,0.9943,143.1279291964196,131.69230769230768,143.88287856164754,457.2357437393141,9231.27812204176,8479.95600413169,-455.0,19197.145663860403,0.8761666666666666,1.0061666666666667,0.0016666666666666668,1.0021666666666667,0.0045,5.652333333333333,9688.97562204176,0.0,144.02266666666668,114.32283333333334,114.07566938300349,0.004490271079328123,0.9955097289206719,0.8797605188757691,9668.028227548737,5.640113088308665
Blueberry Prime,2.0,0.8074,96.05647758236314,65.76779220779221,111.74495513899032,548.0319544216002,14052.32047965602,13231.475180009864,219.48722849575336,28005.884035807303,0.9041666666666667,1.5426666666666666,0.27,1.2431666666666668,0.2748333333333333,6.433666666666666,14736.683812989355,0.0,138.74433333333334,126.346,101.63239040085803,0.22107521115431022,0.7789247888456898,0.7899182196004826,11854.149735612837,5.175224560933101
Blueberry Prime,2.5,0.8325,77.27267267267267,57.00179211469534,88.74150171677053,533.4684684684685,20224.569060471757,18961.639253282385,3544.9313319077833,38457.43436930009,0.954,1.5935,0.24733333333333332,1.3225,0.3481666666666667,7.378,20933.53489380509,0.0,117.52216666666666,144.5495,109.30018903591683,0.2632640201638311,0.7367359798361689,0.8081915563957152,15828.759844087022,5.57882797731569
Blueberry Prime,3.0,0.8336,64.45693378119002,51.21935096153846,74.68114203454894,532.8502879078694,26674.360848773493,25733.506157984768,6288.85418023688,47864.241963797416,0.9708333333333333,1.6851666666666667,0.24816666666666667,1.4136666666666666,0.439,7.9615,27424.980848773495,0.0,106.64266666666667,154.101,109.00801697712804,0.3105399669889177,0.6894600330110823,0.8121905211035133,19399.892135421003,5.631808535722707
Blueberry Prime,4.0,0.7077,43.52296170693797,32.59322613752993,56.984880599123926,616.0809665112336,34328.65245212418,32143.88589213462,8549.951424069299,62825.95440593617,0.977,2.8998333333333335,0.772,2.0505,1.1333333333333333,7.543166666666667,35597.896618790845,0.0,117.10516666666666,144.33966666666666,70.39242461188329,0.552710720962367,0.44728927903763305,0.7342924489961798,17360.593327866787,3.6786962529464358
GOAT 2-Step Standard,1.0,0.982,219.20030549898166,87.0,220.79501018329938,405.29531568228106,2895.486533501291,1377.386926935101,-398.0,8729.108675193933,0.606,1.0001666666666666,0.00016666666666666666,0.9856666666666667,0.0,2.571,3157.2378668346246,136.315,223.806,54.62166666666667,55.415962123774094,0.0,1.0,0.6124450456543794,3203.1496788988416,2.6083868785931688
GOAT 2-Step Standard,1.5,0.9933,151.94120608074095,131.69230769230768,152.82949608531004,400.68458673109836,8468.400075729907,7908.898226926733,-398.0,18015.55812086682,0.8521666666666666,1.0051666666666668,0.0021666666666666666,1.0015,0.003,5.166,8607.899075729907,260.55733333333336,151.80183333333332,107.683,107.5217174238642,0.0029955067398901645,0.9970044932601099,0.8498918289232817,8595.006565881085,5.158262606090863
GOAT 2-Step Standard,2.0,0.918,111.15588235294118,102.89369592088998,120.34682251145205,433.5511982570806,13144.992751269221,12694.89588493376,111.83831979153784,25475.811158197885,0.9021666666666667,1.1146666666666667,0.08533333333333333,1.0241666666666667,0.0295,6.4816666666666665,13286.216417935888,302.41366666666664,123.70383333333334,133.74383333333333,130.58795768917818,0.028803905614320585,0.9711960943856794,0.8878763222131815,12972.709277073282,6.328722538649308
GOAT 2-Step Standard,2.5,0.8233,81.93611077371554,59.233295583238956,94.64900197930078,483.42038139195915,15912.984847636677,14908.65235281245,2194.4186923203433,30512.37964269564,0.94,1.5858333333333334,0.25183333333333335,1.3105,0.3365,6.818333333333333,16232.976847636679,311.16966666666667,123.639,138.77366666666666,105.89367925728094,0.25677222434185426,0.7432277756581458,0.8010937301284498,12386.857571641876,5.202848785450846
